Week,apple,amazon,google,Facebook,microsoft
2012-05-06,33,11,64,58,26
2012-05-13,32,11,67,58,26
2012-05-20,31,11,68,58,25
2012-05-27,31,11,64,59,24
2012-06-03,33,11,64,58,25
2012-06-10,51,12,63,57,25
2012-06-17,36,12,63,56,36
2012-06-24,34,12,68,55,26
2012-07-01,34,12,68,56,24
2012-07-08,34,12,68,57,26
2012-07-15,34,12,66,55,26
2012-07-22,36,12,67,55,25
2012-07-29,35,12,67,54,24
2012-08-05,34,12,69,54,24
2012-08-12,34,12,70,56,26
2012-08-19,36,12,69,55,27
2012-08-26,37,13,70,56,28
2012-09-02,36,14,68,56,27
2012-09-09,88,14,70,55,28
2012-09-16,60,13,73,56,29
2012-09-23,54,13,73,56,28
2012-09-30,46,13,71,59,27
2012-10-07,42,13,72,67,27
2012-10-14,40,13,73,66,30
2012-10-21,64,14,73,68,34
2012-10-28,46,14,75,68,33
2012-11-04,43,14,75,67,31
2012-11-11,41,15,75,67,30
2012-11-18,51,19,75,68,29
2012-11-25,44,19,77,68,29
2012-12-02,44,18,77,67,28
2012-12-09,45,19,78,70,27
2012-12-16,45,18,75,68,25
2012-12-23,57,23,83,76,25
2012-12-30,44,17,75,67,24
2013-01-06,38,15,74,65,27
2013-01-13,35,14,76,67,27
2013-01-20,35,13,74,66,28
2013-01-27,36,13,75,65,28
2013-02-03,34,13,76,65,27
2013-02-10,34,12,74,65,27
2013-02-17,34,13,76,67,28
2013-02-24,33,12,77,66,27
2013-03-03,31,12,75,63,26
2013-03-10,31,12,75,65,26
2013-03-17,31,12,75,64,26
2013-03-24,32,12,73,66,24
2013-03-31,31,12,75,66,25
2013-04-07,29,11,74,65,25
2013-04-14,28,11,73,64,24
2013-04-21,29,11,73,64,23
2013-04-28,28,12,72,64,23
2013-05-05,28,12,72,64,22
2013-05-12,28,11,73,63,23
2013-05-19,28,12,73,64,24
2013-05-26,28,12,73,65,22
2013-06-02,30,12,72,65,23
2013-06-09,48,13,71,66,24
2013-06-16,32,12,70,67,22
2013-06-23,31,12,71,65,22
2013-06-30,30,12,70,66,21
2013-07-07,30,12,71,64,21
2013-07-14,29,12,70,64,22
2013-07-21,31,12,71,64,21
2013-07-28,31,13,73,64,21
2013-08-04,31,13,70,63,21
2013-08-11,31,12,71,63,21
2013-08-18,32,13,75,64,23
2013-08-25,32,13,77,64,24
2013-09-01,33,13,74,63,24
2013-09-08,74,12,75,65,26
2013-09-15,54,13,79,66,26
2013-09-22,42,12,82,64,26
2013-09-29,36,12,82,61,25
2013-10-06,34,12,83,61,25
2013-10-13,33,12,82,61,25
2013-10-20,53,13,81,60,26
2013-10-27,40,13,80,59,25
2013-11-03,37,14,82,61,25
2013-11-10,36,14,78,59,24
2013-11-17,37,15,81,61,25
2013-11-24,42,19,76,59,25
2013-12-01,37,19,79,58,25
2013-12-08,35,18,78,58,25
2013-12-15,36,17,75,58,23
2013-12-22,45,19,77,62,22
2013-12-29,37,16,72,59,21
2014-01-05,34,15,77,57,23
2014-01-12,30,13,79,56,23
2014-01-19,30,13,78,58,24
2014-01-26,31,13,77,56,24
2014-02-02,29,12,78,57,24
2014-02-09,28,12,74,56,23
2014-02-16,28,12,75,56,23
2014-02-23,30,12,79,56,23
2014-03-02,28,12,75,55,22
2014-03-09,29,12,76,55,22
2014-03-16,27,12,76,54,22
2014-03-23,27,12,75,55,23
2014-03-30,26,12,73,55,23
2014-04-06,26,12,75,56,24
2014-04-13,25,12,73,54,22
2014-04-20,26,12,72,55,21
2014-04-27,27,12,76,54,22
2014-05-04,27,12,73,53,21
2014-05-11,25,11,73,52,20
2014-05-18,24,11,74,54,22
2014-05-25,25,11,71,55,20
2014-06-01,36,11,70,55,20
2014-06-08,26,11,69,55,20
2014-06-15,26,12,67,54,19
2014-06-22,25,12,68,53,19
2014-06-29,26,12,67,53,18
2014-07-06,26,12,65,53,18
2014-07-13,26,12,67,54,19
2014-07-20,27,13,69,55,19
2014-07-27,28,13,68,55,18
2014-08-03,28,13,69,55,19
2014-08-10,28,12,70,53,20
2014-08-17,28,13,72,54,21
2014-08-24,31,13,75,55,21
2014-08-31,31,13,76,54,22
2014-09-07,100,13,79,54,22
2014-09-14,49,13,79,53,22
2014-09-21,45,13,77,52,22
2014-09-28,37,13,77,52,22
2014-10-05,35,14,77,51,21
2014-10-12,44,13,76,52,21
2014-10-19,40,13,76,51,21
2014-10-26,35,14,78,51,21
2014-11-02,34,14,78,51,22
2014-11-09,33,14,77,49,22
2014-11-16,33,15,76,49,22
2014-11-23,37,21,72,51,21
2014-11-30,34,19,77,49,21
2014-12-07,34,18,80,50,21
2014-12-14,34,18,77,49,20
2014-12-21,38,20,75,52,19
2014-12-28,35,18,68,50,17
2015-01-04,31,15,75,46,19
2015-01-11,29,14,77,46,20
2015-01-18,28,14,73,46,22
2015-01-25,29,14,75,48,21
2015-02-01,27,13,77,45,21
2015-02-08,27,13,74,47,20
2015-02-15,27,13,72,45,20
2015-02-22,27,12,74,45,20
2015-03-01,27,13,74,44,20
2015-03-08,44,12,74,45,20
2015-03-15,29,12,74,45,20
2015-03-22,27,12,73,45,19
2015-03-29,27,13,71,44,19
2015-04-05,29,12,71,45,19
2015-04-12,27,12,73,44,18
2015-04-19,27,12,75,43,19
2015-04-26,28,12,75,44,19
2015-05-03,26,12,73,43,19
2015-05-10,26,12,73,43,18
2015-05-17,26,12,73,43,19
2015-05-24,26,12,72,44,18
2015-05-31,27,12,70,44,19
2015-06-07,33,12,69,44,18
2015-06-14,27,13,64,42,19
2015-06-21,28,13,63,43,18
2015-06-28,34,12,62,44,17
2015-07-05,30,13,63,43,17
2015-07-12,30,15,66,44,17
2015-07-19,29,13,64,43,18
2015-07-26,28,14,67,43,22
2015-08-02,28,13,66,44,22
2015-08-09,29,14,67,43,20
2015-08-16,29,13,68,42,20
2015-08-23,29,13,69,43,20
2015-08-30,30,13,74,41,20
2015-09-06,63,13,75,41,20
2015-09-13,38,13,74,41,20
2015-09-20,37,13,75,42,20
2015-09-27,35,13,77,44,20
2015-10-04,34,13,75,42,23
2015-10-11,32,14,74,41,20
2015-10-18,31,14,73,40,19
2015-10-25,33,14,74,41,19
2015-11-01,32,14,74,40,19
2015-11-08,33,15,72,41,19
2015-11-15,31,16,74,41,19
2015-11-22,34,22,67,41,19
2015-11-29,31,20,74,40,19
2015-12-06,33,18,75,39,19
2015-12-13,32,19,73,40,18
2015-12-20,37,20,63,41,17
2015-12-27,35,19,59,40,16
2016-01-03,31,17,71,40,18
2016-01-10,28,15,72,38,18
2016-01-17,28,15,69,40,18
2016-01-24,29,15,73,39,18
2016-01-31,28,14,73,38,18
2016-02-07,26,14,72,37,18
2016-02-14,28,14,70,38,18
2016-02-21,27,13,73,38,18
2016-02-28,26,13,73,38,17
2016-03-06,26,13,72,37,17
2016-03-13,25,13,71,38,17
2016-03-20,42,14,67,38,16
2016-03-27,30,13,66,38,17
2016-04-03,28,13,69,37,16
2016-04-10,26,13,70,37,16
2016-04-17,26,13,71,37,16
2016-04-24,27,13,70,37,16
2016-05-01,25,12,70,37,16
2016-05-08,25,13,69,37,16
2016-05-15,25,13,71,38,16
2016-05-22,25,13,68,37,15
2016-05-29,25,13,63,37,15
2016-06-05,25,13,62,36,15
2016-06-12,31,14,61,37,16
2016-06-19,25,13,57,36,15
2016-06-26,25,14,58,36,15
2016-07-03,26,14,56,36,14
2016-07-10,28,15,56,35,15
2016-07-17,26,14,57,36,15
2016-07-24,27,14,59,36,16
2016-07-31,28,15,59,36,16
2016-08-07,26,14,59,35,15
2016-08-14,26,14,60,34,15
2016-08-21,27,14,65,35,16
2016-08-28,30,15,69,35,16
2016-09-04,66,15,70,35,16
2016-09-11,41,15,74,35,17
2016-09-18,37,15,77,34,17
2016-09-25,36,15,77,35,17
2016-10-02,33,15,83,34,16
2016-10-09,32,15,77,34,17
2016-10-16,31,15,78,34,16
2016-10-23,41,15,80,34,19
2016-10-30,33,15,77,34,17
2016-11-06,29,15,71,32,16
2016-11-13,31,17,79,34,17
2016-11-20,37,24,69,34,17
2016-11-27,32,21,78,33,17
2016-12-04,31,19,78,32,16
2016-12-11,33,20,76,33,16
2016-12-18,34,19,65,33,15
2016-12-25,36,21,58,33,14
2017-01-01,31,18,64,32,15
2017-01-08,29,17,72,32,16
2017-01-15,27,16,70,31,15
2017-01-22,26,15,73,32,16
2017-01-29,26,15,74,32,16
2017-02-05,25,14,74,31,15
2017-02-12,26,14,75,32,15
2017-02-19,25,14,72,32,15
2017-02-26,25,16,74,31,15
2017-03-05,24,15,74,31,16
2017-03-12,24,14,70,31,15
2017-03-19,29,14,73,31,16
2017-03-26,27,14,73,31,15
2017-04-02,25,13,71,31,15
2017-04-09,25,13,67,30,14
2017-04-16,24,13,69,30,14
2017-04-23,24,13,74,30,14
2017-04-30,25,14,54,30,11
